Thème,Fonctionnalités,Phase,Tâches principales,Dépendance,Importance,Validation
Gestion utilisateur,F1-F5,Développement,Création de compte, connexion, consultation/modification profil, désinscription,,5,Versionning Github
Catalogue produits,F6-F14,Développement,Consultation catalogue, filtrage, ajout/modification/suppression panier, sélection offres spéciales,,5,Versionning Github
Location,F15-F18,Développement,Location produits, gestion panier location,,5,Versionning Github
Blog,F19-F24,Développement,Consultation articles, commentaires, signalement, recherche/filtrage blog,,2,Versionning Github
Facturation,F25-F26,Développement,Consultation et téléchargement factures PDF,,5,Versionning Github
Newsletter,F27-F28,Développement,Abonnement/désabonnement newsletter,,2,Versionning Github
Contact et langue,F29-F30,Développement,Formulaire contact admin, changement langue,,5,Versionning Github
Wishlist et commandes,F31-F33,Développement,Ajout wishlist, passage/annulation commande,,5,Versionning Github
Administration produits,A1-A3,Développement,Ajout/modification/suppression produits (admin),,5,Versionning Github
Administration blog,A4-A7,Développement,Ajout/modification/suppression articles blog, gestion signalements (admin),,5,Versionning Github
Administration utilisateurs,A8-A10,Développement,Ajout/modification/suppression utilisateurs (admin),,5,Versionning Github
Exigences non-fonctionnelles,N1-N9,Développement,Navigation fluide, déconnexion auto, sécurisation données, pénalités, gestion cookies,,4-5,Versionning Github
Initialisation,,Initialisation,Analyse et choix du sujet,,5,Remise du livrable sur Chamilo
Initialisation,,Initialisation,Etude de marché,Analyse et choix du sujet,3,Conseil d'un spécialiste agricole
Initialisation,,Initialisation,Réalisation du support de présentation orale,Analyse et choix du sujet,5,Remise du livrable sur Chamilo
Initialisation,,Initialisation,Etude de faisabilité et Business Plan,Etude de marché,4,Remise du livrable sur Chamilo
Définition,,Définition,Cahier des charges fonctionnels,Etude de faisabilité,5,Remise du livrable sur Chamilo
Planification,,Planification,Organigramme des tâches,Cahier des charges fonctionnels,3,Remise du livrable sur Chamilo
Planification,,Planification,Planning prévisionnel,Organigramme des tâches,5,Remise du livrable sur Chamilo
Conception,,Conception,Analyse UML V1,Cahier des charges fonctionnels,5,Remise du livrable sur Chamilo
Conception,,Conception,Analyse UML V2,Analyse UML V1,5,Remise du livrable sur Chamilo
Conception,,Conception,Schéma de base de données,Analyse UML V2,5,Remise du livrable sur Chamilo
Conception,,Conception,Dictionnaire de données,Schéma de base de données,4,Remise du livrable sur Chamilo
Conception,,Conception,Rapport écrit V1,Dictionnaire de données,5,Remise du livrable sur Chamilo
Conception,,Conception,Analyse UML V3,Rapport écrit V1,5,Remise du livrable sur Chamilo
Conception,,Conception,Maquettes fonctionnelles,Cahier des charges fonctionnels,4,Recherche ergonomie
Conception,,Conception,Maquettes graphiques,Maquettes fonctionnelles,4,Police et couleurs adaptées
Conception,,Conception,Vectorisation du logo,,5,Logo adaptable
Conception,,Conception,Rapport conception graphique,Maquettes graphiques,5,Remise du livrable sur Chamilo
Conception,,Conception,Prototype navigable,Rapport conception graphique,5,Validation navigation
Conception,,Conception,Stratégie de sécurité,Etude de faisabilité,5,Remise du livrable sur Chamilo
Conception,,Conception,Stratégie de référencement,Etude de faisabilité,4,Remise du livrable sur Chamilo
Conception,,Conception,Aspect juridique,Etude de faisabilité,4,Remise du livrable sur Chamilo
Conception,,Conception,Synthèse progiciels et solutions,,5,Remise du livrable sur Chamilo
Infrastructure,,Infrastructure,Installer le framework,Synthèse progiciels et solutions,5,
Infrastructure,,Infrastructure,Configurer et tester le framework,Installer le framework,5,
Développement,,Développement,Implémentation base de données,Configurer et tester le framework,5,PhpMyAdmin
Développement,,Développement,Encodage jeu de données,Configurer le framework,4,PhpMyAdmin
Développement,,Développement,Tests principales requêtes,Encodage jeu de données,5,CRUD
Développement,,Développement,Export base de données,Tests principales requêtes,3,Remise du livrable sur Chamilo
Développement,,Développement,Implémenter API/back-office,Implémentation base de données,5,Versionning Github
Développement,,Développement,Documenter l'API,Implémenter API/back-office,5,Remise du livrable sur Chamilo
Développement,,Développement,Templates responsive,Rapport conception graphique,3,
Développement,,Développement,Adapter templates principaux,Templates responsive,5,Données fictives
Développement,,Développement,Mapping objet relationnel,Synthèse progiciels et solutions,5,Versionning Github
Développement,,Développement,CRUD modèle simple,Synthèse progiciels et solutions,5,Versionning Github
Développement,,Développement,Intégrer librairies JS,Recherche progiciels et solutions,3,Versionning Github
Développement,,Développement,Mapping relationnel complet,Implémentation base de données,5,Versionning Github
Développement,,Développement,Versionning code,Implémenter API,5,Remise du livrable sur Chamilo
Développement,,Développement,Intégration design,Rapport conception graphique,5,Données similaires
Développement,,Développement,Pages principales,Rapport conception graphique,5,
Développement,,Développement,Archiver le site,,5,Versionning Github
Développement,,Développement,Gestion utilisateurs,Développement back-office,5,Versionning Github
Développement,,Développement,Catalogue produit,Développement back-office,5,Versionning Github
Développement,,Développement,Articles de blog,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,Facturation,Pages principales,3,Versionning Github
Développement,,Développement,Newsletter,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,Contact admin,Gestion utilisateurs,4,Versionning Github
Développement,,Développement,Changer langue,Implémentation API/back-office,3,Versionning Github
Développement,,Développement,Wishlist,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,Passer/annuler commande,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,CRUD produit,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,CRUD blog,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,CRUD utilisateurs,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,Support client,Implémentation API/back-office,5,Versionning Github
Développement,,Développement,Navigation fluide,Implémentation API/back-office,4,Versionning Github
Développement,,Développement,Gestion cookies,Pages principales,4,Versionning Github
Développement,,Développement,Déconnexion auto,Pages principales,2,Versionning Github
Développement,,Développement,Sécuriser données,Pages principales,5,Versionning Github
Développement,,Développement,Pénalités retards,Pages principales,3,Versionning Github
Développement,,Développement,Pénalités dégâts,Pages principales,3,Versionning Github
Développement,,Développement,CRUD cookies,Pages principales,3,Versionning Github
Tests,,Tests,Tests unitaires backend,,5,
Tests,,Tests,Tests unitaires frontend,,5,
Tests,,Tests,Tests d'intégration,,5,
Bilan,,Bilan,Support présentation orale,Finaliser rapport écrit,5,Remise du livrable sur Chamilo
Bilan,,Bilan,Archiver le site,Release du site,5,Remise du livrable sur Chamilo
Bilan,,Bilan,Déployer et tester le site,Archiver le site,5,
Bilan,,Bilan,Rédiger documentation,Déployer et tester le site,4,Remise du livrable sur Chamilo
Bilan,,Bilan,Finaliser rapport écrit,Rédiger documentation,5,Remise du livrable sur Chamilo
